date,total_registered,total_eligible,total_pledged,combined_total,delta_registered,delta_combined
2025-12-01,18112393.509000003,18244709.433999997,1940818.6939999997,36357102.943,,
2025-12-02,17942275.841000002,18339638.823,1952019.7029999997,36281914.664000005,-170117.66800000146,-75188.27899999917
2025-12-03,17866261.668,18403692.823999997,1935341.4239999999,36269954.492,-76014.17300000042,-11960.172000005841
2025-12-04,17861618.060000002,18385942.601999998,1935341.4239999999,36247560.662,-4643.607999999076,-22393.829999998212
2025-12-05,18033903.255000003,18276771.984999996,1899593.6909999999,36310675.239999995,172285.1950000003,63114.57799999416
2025-12-06,18033903.255000003,18276771.984999996,1899593.6909999999,36310675.239999995,0.0,0.0
2025-12-07,18033903.255000003,18276771.984999996,1899593.6909999999,36310675.239999995,0.0,0.0
2025-12-08,18463563.902999997,17749474.626999997,2010707.5469999996,36213038.529999994,429660.64799999446,-97636.7100000009
2025-12-09,18505191.898,17594027.261999995,2010707.5469999996,36099219.16,41627.99500000104,-113819.36999999732
2025-12-10,18802267.138,17307351.951999996,2010707.5469999996,36109619.089999996,297075.2400000021,10399.929999999702
2025-12-11,18936507.827999998,17179097.674999997,2010900.4529999995,36115605.50299999,134240.68999999762,5986.412999995053
2025-12-12,18953617.84,17014134.225,1998128.7289999998,35967752.065,17110.012000001967,-147853.43799999356
2025-12-13,18953617.84,17014134.225,1998128.7289999998,35967752.065,0.0,0.0
2025-12-14,18953617.84,17014134.225,1998128.7289999998,35967752.065,0.0,0.0
2025-12-15,19058393.961,16908837.685000002,1991242.5089999998,35967231.646,104776.12099999934,-520.4189999997616
2025-12-16,19191884.913,16799459.983000003,1991242.5089999998,35991344.896,133490.95199999958,24113.25
2025-12-17,19224678.933,16766665.963000001,1980647.4379999996,35991344.896,32794.01999999955,0.0
2025-12-18,19276088.382,16794071.663000003,1969701.0199999996,36070160.045,51409.449000000954,78815.14900000393
2025-12-19,19298561.931,16707360.428000001,2015413.233,36005922.359000005,22473.549000002444,-64237.68599999696
2025-12-20,19298561.931,16707360.428000001,2015413.233,36005922.359000005,0.0,0.0
2025-12-21,19298561.931,16707360.428000001,2015413.233,36005922.359000005,0.0,0.0
2025-12-22,19206738.675,16913351.885,2015413.233,36120090.56,-91823.25600000098,114168.20099999756
2025-12-23,19321903.562999997,16837361.630000003,2001427.554,36159265.193,115164.88799999654,39174.63300000131
2025-12-24,19361515.292,16797846.121,2001427.554,36159361.413,39611.729000002146,96.2199999988079
2025-12-25,19361515.292,16797846.121,2001427.554,36159361.413,0.0,0.0
2025-12-26,19361515.292,16829739.913,2001427.554,36191255.205,0.0,31893.79199999571
2025-12-27,19361515.292,16829739.913,2001427.554,36191255.205,0.0,0.0
2025-12-28,19361515.292,16829739.913,2001427.554,36191255.205,0.0,0.0
2025-12-29,19361515.292,16861858.762,2001427.554,36223374.054,0.0,32118.848999999464
2025-12-30,19361515.292,16894009.762,1991397.103,36255525.054,0.0,32151.0
2025-12-31,19361515.292,16894009.762,1962193.112,36255525.054,0.0,0.0
2026-01-01,19361515.292,16894009.762,1962193.112,36255525.054,0.0,0.0
2026-01-02,19361515.292,17041454.248,1962193.112,36402969.54,0.0,147444.48600000143
2026-01-03,19361515.292,17041454.248,1962193.112,36402969.54,0.0,0.0
2026-01-04,19361515.292,17041454.248,1962193.112,36402969.54,0.0,0.0
2026-01-05,19329396.443,17074055.362,1967593.662,36403451.805,-32118.848999999464,482.26500000059605
2026-01-06,19329396.443,17074055.362,1967593.662,36403451.805,0.0,0.0
2026-01-07,19345676.474,17057775.330999997,1857830.139,36403451.80499999,16280.030999999493,-7.450580596923828e-09
2026-01-08,19281342.323,17106033.981999997,1857830.1509999998,36387376.30499999,-64334.15100000054,-16075.5
2026-01-09,19180166.667999998,17131751.24,1857830.1509999998,36311917.90799999,-101175.65500000119,-75458.39699999988
2026-01-10,19180166.667999998,17131751.24,1857830.1509999998,36311917.90799999,0.0,0.0
2026-01-11,19180166.667999998,17131751.24,1857830.1509999998,36311917.90799999,0.0,0.0
2026-01-12,19250696.362,17061221.546,1954980.629,36311917.908,70529.694000002,7.450580596923828e-09
2026-01-13,19282815.211,17013027.196999997,1954980.629,36295842.40799999,32118.848999999464,-16075.50000000745
